id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
KCNA2	6	0.93391	0.93414	0.99876	20265	0	0.52118	4.4986e-05	0.0002601	0.156766	36	5	0.52118
DYRK1A	6	0.97565	0.97578	0.999851	21167	0	0.68406	6.3451e-05	0.00034063	0.199759	37	5	0.68406
KHNYN	6	0.94145	0.9417	0.99876	20429	0	0.61317	8.0806e-05	0.00043053	0.245831	38	4	0.61317
CRTC1	6	0.9999	0.9999	1.0	21691	0	0.79221	0.00010493	0.00057016	0.311015	39	6	0.79221
SLC35G2	6	0.98526	0.98539	0.999851	21373	0	0.69557	0.00010541	0.00057335	0.311015	40	5	0.69557
POLR2B	6	0.64557	0.77551	0.997916	16420	1	0.66208	0.00011082	0.00060849	0.322024	41	4	0.66208
IL2RA	6	0.99987	0.99988	1.0	21689	0	0.49454	0.000115	0.0006272	0.324022	42	6	0.49454
BBS2	6	0.99986	0.99986	1.0	21688	0	0.55437	0.00014123	0.00076272	0.382876	43	6	0.55437
RNF4	6	0.25845	0.46054	0.997916	9626	1	0.37169	0.0001431	0.00077641	0.382876	44	3	0.37169
NT5C1A	6	0.31719	0.52801	0.997916	10981	1	0.45673	0.00015709	0.00085581	0.412651	45	5	0.45673
DUX2	6	0.08514	0.2181	0.997916	4545	3	0.15883	0.0001669	0.00090554	0.427142	46	3	0.15883
POM121L2	6	0.56511	0.71771	0.997916	15225	1	0.96554	0.0001714	0.00093338	0.430904	47	4	0.96554
VPS51	6	0.84594	0.8733	0.99876	18843	1	0.82818	0.00019199	0.0010484	0.473907	48	5	0.82818
TRABD	6	0.9998	0.9998	1.0	21687	0	0.45804	0.00019775	0.0010757	0.476359	49	6	0.45804
BOD1L2	6	0.99977	0.99977	1.0	21686	0	0.33173	0.00022623	0.0012131	0.526436	50	6	0.33173
RS1	6	0.99166	0.99166	0.999851	21508	0	0.59492	0.00023451	0.0012615	0.529037	51	5	0.59492
SNX32	6	0.99976	0.99976	1.0	21685	0	0.45113	0.00023608	0.0012679	0.529037	52	6	0.45113
AGRP	6	0.84255	0.87166	0.99876	18802	1	0.5245	0.00024064	0.0012939	0.529703	53	4	0.5245
FAM134B	6	0.99973	0.99974	1.0	21684	0	0.42412	0.00026562	0.0014276	0.563186	54	6	0.42412
CCDC140	6	0.94667	0.9468	0.99876	20539	0	0.4472	0.00029395	0.0015759	0.584081	55	5	0.4472
C15orf61	6	0.09663	0.24093	0.997916	5027	1	0.70576	0.00029437	0.0015786	0.584081	56	5	0.70576
NTN4	6	0.9997	0.99971	1.0	21683	0	0.38539	0.00029794	0.0015914	0.584081	57	6	0.38539
ZNF91	6	0.95014	0.95026	0.99876	20630	0	0.28013	0.00030965	0.0016571	0.584081	58	3	0.28013
ATP12A	6	0.28611	0.4925	0.997916	10271	2	0.45908	0.00031	0.0016589	0.584081	59	4	0.45908
CPEB4	6	0.99839	0.9984	1.0	21659	0	0.64296	0.00031348	0.0016726	0.584081	60	6	0.64296
IQGAP1	6	0.99968	0.99968	1.0	21682	0	0.42267	0.00032032	0.0017036	0.584081	61	6	0.42267
ATP6V1F	6	0.094992	0.23769	0.997916	4956	4	-0.23909	0.00032381	0.0017228	0.584081	62	1	-0.23909
LAP3	6	0.50011	0.6737	0.997916	14243	1	0.82229	0.00033766	0.001794	0.598858	63	5	0.82229
POP4	6	0.9461	0.94624	0.99876	20526	0	0.64355	0.00034526	0.0018328	0.602535	64	4	0.64355
TPTE	6	0.47209	0.65536	0.997916	13852	2	0.07	0.00035238	0.0018716	0.606103	65	3	0.07
WDR78	6	0.59287	0.7373	0.997916	15621	1	0.71024	0.00036465	0.0019313	0.608337	66	5	0.71024
hsa-mir-4520a	4	0.64711	0.69726	0.997916	16451	1	0.36952	0.00036523	0.0014029	0.563186	67	3	0.36952
CGNL1	6	0.98046	0.9806	0.999851	21266	0	0.4499	0.00036559	0.0019345	0.608337	68	4	0.4499
ATP6V1A	5	0.9274	0.92765	0.99876	20122	0	0.39431	0.00036699	0.0017082	0.584081	69	3	0.39431
CYLD	6	0.97299	0.97304	0.999851	21112	0	0.73509	0.00037151	0.0019697	0.610537	70	4	0.73509
HIST3H2A	6	0.45871	0.64678	0.997916	13645	2	0.30711	0.00038032	0.0020157	0.616023	71	3	0.30711
RPS5	6	0.26574	0.46907	0.997916	9795	2	0.14107	0.00039405	0.0020846	0.628232	72	3	0.14107
OXER1	6	0.66649	0.79116	0.997916	16775	1	0.95943	0.000404	0.0021312	0.629169	73	5	0.95943
HIST1H2BK	6	0.37773	0.59533	0.997916	12419	3	-0.11035	0.00041445	0.002191	0.629169	74	2	-0.11035
PTPLA	6	0.96233	0.96234	0.99882	20905	0	0.33136	0.00041704	0.0022037	0.629169	75	4	0.33136
EGFL8	6	0.89924	0.90496	0.99876	19583	1	0.12361	0.00042877	0.002258	0.636299	76	2	0.12361
RGP1	6	0.99943	0.99943	1.0	21679	0	0.90601	0.00043698	0.0022945	0.638297	77	6	0.90601
GPX8	6	0.99541	0.99547	0.999851	21594	0	0.64754	0.00045896	0.0023972	0.651918	78	5	0.64754
CC2D1A	6	0.85137	0.87607	0.99876	18905	1	0.83119	0.0004603	0.0024036	0.651918	79	5	0.83119
LYRM7	5	0.99875	0.99877	1.0	21664	0	0.54888	0.00046978	0.0021732	0.629169	80	5	0.54888
DEF8	6	0.95848	0.95845	0.99876	20819	0	0.56061	0.00049126	0.0025574	0.670677	81	4	0.56061
COG1	6	0.68533	0.80558	0.997916	17104	1	0.60946	0.00049971	0.0026048	0.670677	82	5	0.60946
MOV10	6	0.99949	0.9995	1.0	21681	0	0.45456	0.00050535	0.0026331	0.670677	83	6	0.45456
SLC37A2	6	0.98531	0.98543	0.999851	21375	0	0.43996	0.00050699	0.0026404	0.670677	84	4	0.43996
SMARCB1	6	0.99949	0.9995	1.0	21680	0	0.53447	0.00050974	0.0026582	0.670677	85	6	0.53447
OR2B3	6	0.9708	0.97083	0.999813	21068	0	0.29403	0.00052797	0.0027413	0.68368	86	5	0.29403
TAAR2	6	0.46528	0.65102	0.997916	13741	2	0.30019	0.00054307	0.0028138	0.686228	87	3	0.30019
PCOLCE2	6	0.52882	0.69301	0.997916	14674	2	0.43586	0.0005433	0.0028147	0.686228	88	4	0.43586
PAPL	6	0.48393	0.66306	0.997916	14031	1	0.6785	0.00055088	0.0028576	0.688944	89	4	0.6785
CAPZB	6	0.48465	0.66352	0.997916	14041	1	0.053365	0.00057283	0.0029836	0.711402	90	2	0.053365
TPCN1	6	0.99941	0.99942	1.0	21678	0	0.25409	0.00059405	0.0030899	0.716768	91	6	0.25409
GCC2	6	0.71859	0.82474	0.997916	17527	1	0.58472	0.00060239	0.0031285	0.716768	92	5	0.58472
CHI3L1	6	0.81261	0.858	0.99876	18435	1	0.48413	0.00061768	0.0032058	0.716768	93	4	0.48413
NUMB	6	0.77517	0.84341	0.99876	18058	1	0.17525	0.00062263	0.0032263	0.716768	94	3	0.17525
NOX4	6	0.99937	0.99938	1.0	21677	0	0.26403	0.00063343	0.0032857	0.716768	95	6	0.26403
KRTAP5-4	6	0.95795	0.95795	0.99876	20804	0	0.54467	0.00065186	0.0033774	0.716768	96	5	0.54467
TPMT	6	0.60794	0.74803	0.997916	15859	2	-0.123	0.00065597	0.0033938	0.716768	97	2	-0.123
MTMR7	6	0.72143	0.82557	0.997916	17549	1	0.57177	0.00065957	0.0034089	0.716768	98	5	0.57177
SPPL3	6	0.81708	0.85994	0.99876	18491	1	0.46515	0.0006616	0.0034216	0.716768	99	4	0.46515
TRIM10	6	0.99933	0.99935	1.0	21676	0	0.42232	0.0006652	0.0034367	0.716768	100	6	0.42232
IFNAR2	6	0.053878	0.15352	0.997916	3225	2	0.30884	0.00066821	0.0034568	0.716768	101	3	0.30884
SCCPDH	6	0.99932	0.99934	1.0	21675	0	0.27253	0.00067946	0.0035207	0.716768	102	6	0.27253
hsa-mir-3140	4	0.99932	0.99931	1.0	21674	0	0.52574	0.00068431	0.002546	0.670677	103	4	0.52574
H2AFZ	6	0.90462	0.90887	0.99876	19680	1	0.96872	0.00068462	0.0035457	0.716768	104	5	0.96872
NICN1	6	0.99838	0.99839	1.0	21658	0	0.59318	0.00068808	0.0035677	0.716768	105	6	0.59318
SLC28A3	6	0.99581	0.99587	0.999851	21608	0	0.50226	0.00070653	0.0036626	0.729085	106	5	0.50226
SRP72	6	0.59964	0.74208	0.997916	15735	2	0.37449	0.00072396	0.0037547	0.740639	107	3	0.37449
NUDT1	6	0.83588	0.86845	0.99876	18725	1	0.030488	0.00077201	0.0039975	0.763328	108	2	0.030488
ZBTB42	6	0.95748	0.95747	0.99876	20788	0	0.74379	0.00078397	0.0040614	0.763328	109	4	0.74379
CERKL	6	0.9992	0.99921	1.0	21672	0	0.38929	0.0008039	0.0041531	0.763328	110	6	0.38929
PLA2G6	6	0.99916	0.99917	1.0	21671	0	0.65791	0.00081095	0.0041914	0.763328	111	6	0.65791
ACTR6	6	0.94902	0.94915	0.99876	20604	0	0.46429	0.00081133	0.0041933	0.763328	112	4	0.46429
PCDP1	6	0.49926	0.67313	0.997916	14228	2	0.46656	0.00081487	0.0042152	0.763328	113	4	0.46656
ANKRD26	6	0.40887	0.61532	0.997916	12882	2	0.52261	0.00083374	0.0043082	0.763328	114	4	0.52261
FAM114A1	6	0.90966	0.9127	0.99876	19786	1	0.35287	0.00084083	0.0043511	0.763328	115	3	0.35287
KCNJ8	6	0.81416	0.85868	0.99876	18452	1	0.42504	0.0008614	0.0044661	0.763328	116	5	0.42504
PITPNM3	6	0.98039	0.98053	0.999851	21264	0	0.58364	0.00086513	0.0044844	0.763328	117	5	0.58364
SORBS2	6	0.50042	0.67391	0.997916	14247	2	0.20566	0.00086608	0.0044871	0.763328	118	3	0.20566
GJB7	6	0.99913	0.99914	1.0	21670	0	0.40696	0.00086918	0.0045026	0.763328	119	6	0.40696
STX3	6	0.95982	0.95978	0.99876	20846	0	0.72325	0.00086965	0.0045045	0.763328	120	4	0.72325
NIPA1	6	0.95843	0.95842	0.99876	20817	0	0.35603	0.00087159	0.0045118	0.763328	121	5	0.35603
SULT4A1	6	0.59006	0.73527	0.997916	15574	1	0.47962	0.00087724	0.0045405	0.763328	122	5	0.47962
MYOZ3	6	0.60905	0.7488	0.997916	15877	2	0.26588	0.00088192	0.0045651	0.763328	123	3	0.26588
LTN1	6	0.8105	0.8571	0.99876	18417	1	0.49314	0.00088352	0.0045734	0.763328	124	4	0.49314
DOK4	6	0.9991	0.99912	1.0	21669	0	0.2759	0.00089616	0.0046413	0.767473	125	6	0.2759
SLC35E2	6	0.40458	0.61265	0.997916	12818	1	0.50386	0.00090984	0.0047071	0.767473	126	4	0.50386
MYADML2	6	0.96837	0.96834	0.999813	21010	0	0.19	0.00092137	0.0047623	0.767473	127	4	0.19
BRAP	6	0.86639	0.88419	0.99876	19085	1	0.53408	0.00092212	0.0047659	0.767473	128	5	0.53408
PTGER1	6	0.98789	0.98793	0.999851	21422	0	0.39505	0.0009245	0.004775	0.767473	129	5	0.39505
RHOXF2B	5	0.96554	0.96569	0.999738	20956	0	0.62288	0.00093061	0.004164	0.763328	130	3	0.62288
PPP1R1A	6	0.94764	0.94778	0.99876	20566	0	0.51034	0.00093188	0.0048143	0.768091	131	5	0.51034
ELOF1	6	0.99904	0.99905	1.0	21668	0	0.60162	0.00095577	0.0049343	0.772313	132	6	0.60162
MYCT1	6	0.83507	0.86807	0.99876	18716	1	0.55524	0.0009587	0.0049475	0.772313	133	5	0.55524
MAGED1	6	0.53178	0.69502	0.997916	14709	2	0.69453	0.00099459	0.0051123	0.792327	134	4	0.69453
NOTCH3	6	0.98393	0.98404	0.999851	21345	0	0.55236	0.0010086	0.005178	0.794624	135	5	0.55236
HS6ST1	6	0.46294	0.64949	0.997916	13701	1	0.57529	0.0010137	0.0052003	0.794624	136	4	0.57529
C21orf33	6	0.99898	0.99898	1.0	21667	0	0.351	0.0010241	0.0052505	0.796684	137	6	0.351
CRCT1	6	0.98979	0.98985	0.999851	21471	0	0.44056	0.001041	0.0053354	0.798026	138	5	0.44056
BICD1	6	0.91626	0.91807	0.99876	19896	1	0.48428	0.0010608	0.0054285	0.798026	139	5	0.48428
A3GALT2	6	0.88547	0.89565	0.99876	19379	1	0.51074	0.0010631	0.0054417	0.798026	140	5	0.51074
BEST3	6	0.13211	0.3081	0.997916	6423	1	0.23581	0.0010653	0.0054545	0.798026	141	5	0.23581
DSG3	6	0.043261	0.13045	0.995548	2703	3	0.12393	0.0010694	0.00548	0.798026	142	3	0.12393
C2CD4B	6	0.6276	0.76228	0.997916	16134	2	0.35263	0.0010868	0.0055731	0.806172	143	3	0.35263
RPTN	5	0.9989	0.99891	1.0	21666	0	0.57743	0.0010975	0.0048932	0.772313	144	5	0.57743
NUP155	6	0.65394	0.78168	0.997916	16566	2	0.0086022	0.0010984	0.0056293	0.808892	145	2	0.0086022
MFAP3	6	0.52514	0.69046	0.997916	14622	2	0.65133	0.0011157	0.005715	0.808892	146	4	0.65133
RBM7	6	0.48367	0.66289	0.997916	14027	1	0.5614	0.00112	0.0057369	0.808892	147	5	0.5614
ADAMTSL3	6	0.20289	0.395	0.997916	8289	1	0.33619	0.0011214	0.0057411	0.808892	148	4	0.33619
RAMP3	6	0.42846	0.62758	0.997916	13194	2	0.59511	0.0011678	0.0059573	0.833951	149	4	0.59511
OCLN	6	0.9395	0.93973	0.99876	20388	0	0.45333	0.0011799	0.0060135	0.836412	150	5	0.45333
ARPC3	6	0.92093	0.92203	0.99876	19986	1	0.30735	0.0012174	0.0061942	0.845282	151	3	0.30735
NECAP1	6	0.99878	0.99877	1.0	21665	0	0.24983	0.0012235	0.0062247	0.845282	152	6	0.24983
C11orf84	6	0.92653	0.92706	0.99876	20100	1	0.49402	0.0012302	0.0062535	0.845282	153	5	0.49402
RABGGTB	6	0.99836	0.99837	1.0	21656	0	0.88543	0.0012334	0.0062722	0.845282	154	6	0.88543
OR5AC2	6	0.11452	0.27528	0.997916	5768	2	0.36381	0.0012385	0.0062987	0.845282	155	4	0.36381
PPP1R21	6	0.23217	0.42959	0.997916	9010	1	0.51942	0.0012411	0.006311	0.845282	156	5	0.51942
TDO2	6	0.17807	0.36496	0.997916	7657	2	0.60566	0.0012717	0.0064629	0.849895	157	4	0.60566
LONRF2	6	0.79459	0.8507	0.99876	18244	1	0.45116	0.0012921	0.0065688	0.858613	158	5	0.45116
DOHH	6	0.99498	0.995	0.999851	21582	0	1.1316	0.00133	0.0067499	0.8619	159	5	1.1316
PMFBP1	6	0.99866	0.99866	1.0	21663	0	0.32182	0.0013432	0.006812	0.8619	160	6	0.32182
LGI2	6	0.53461	0.69687	0.997916	14762	1	0.52535	0.0013541	0.0068659	0.8619	161	5	0.52535
PSEN1	6	0.81585	0.85942	0.99876	18473	1	0.68329	0.0013593	0.0068827	0.8619	162	4	0.68329
HECW2	6	0.78588	0.84737	0.99876	18157	1	0.39062	0.0013694	0.0069243	0.8619	163	4	0.39062
FAM24A	6	0.13826	0.31581	0.997916	6597	2	0.091055	0.0013738	0.0069462	0.8619	164	3	0.091055
MFNG	6	0.64668	0.77634	0.997916	16441	1	0.45832	0.0013945	0.0070447	0.8619	165	4	0.45832
HAMP	6	0.9986	0.99861	1.0	21662	0	0.46626	0.0013964	0.007052	0.8619	166	6	0.46626
SRP68	6	0.86081	0.88108	0.99876	19012	1	0.41397	0.0014064	0.0071054	0.8619	167	4	0.41397
TAF1B	6	0.40679	0.61401	0.997916	12848	2	0.14468	0.0014065	0.0071059	0.8619	168	3	0.14468
TMEM198	6	0.39261	0.60532	0.997916	12655	1	0.32819	0.0014143	0.0071492	0.8619	169	5	0.32819
PES1	6	0.013796	0.051882	0.990781	1057	3	-0.098411	0.0014159	0.0071574	0.8619	170	3	-0.098411
C20orf197	6	0.99857	0.99858	1.0	21661	0	0.29941	0.0014306	0.0072277	0.8619	171	6	0.29941
FAM217A	6	0.90876	0.91202	0.99876	19766	1	0.46134	0.0014332	0.0072432	0.8619	172	4	0.46134
SRP19	6	0.95743	0.95742	0.99876	20786	0	0.55745	0.0014391	0.0072692	0.8619	173	5	0.55745
SHISA6	6	0.66008	0.78624	0.997916	16668	2	0.53836	0.0014751	0.0074335	0.875114	174	4	0.53836
RNF141	6	0.4482	0.64009	0.997916	13484	1	0.33604	0.0014807	0.0074613	0.875114	175	5	0.33604
FOXN2	6	0.63691	0.76909	0.997916	16276	2	0.014	0.0015166	0.0076325	0.880722	176	3	0.014
MVD	6	0.36199	0.57801	0.997916	12052	1	0.34287	0.0015641	0.0078588	0.880722	177	5	0.34287
ZNF358	6	0.76206	0.83871	0.99876	17905	1	0.46287	0.0015684	0.0078862	0.880722	178	3	0.46287
TMEM136	6	0.16932	0.35434	0.997916	7405	1	0.37956	0.0015724	0.0079085	0.880722	179	5	0.37956
SPAG11A	6	0.60233	0.74401	0.997916	15764	2	0.20397	0.0015831	0.0079587	0.880722	180	4	0.20397
CAMKMT	6	0.44373	0.63728	0.997916	13422	1	0.4539	0.0015883	0.0079865	0.880722	181	5	0.4539
ATP5S	6	0.83577	0.86839	0.99876	18724	1	0.46857	0.0016064	0.0080614	0.880722	182	5	0.46857
PIGL	6	0.92972	0.93006	0.99876	20168	1	0.28443	0.0016081	0.0080687	0.880722	183	5	0.28443
PTPRZ1	6	0.98552	0.98565	0.999851	21377	0	0.29726	0.0016216	0.008139	0.880722	184	5	0.29726
TEX14	6	0.99837	0.99838	1.0	21657	0	0.30975	0.0016306	0.0081837	0.880722	185	6	0.30975
ZCCHC8	6	0.93589	0.93609	0.99876	20310	0	0.3936	0.0016343	0.0081992	0.880722	186	5	0.3936
NR1D1	6	0.17284	0.35863	0.997916	7499	3	0.079255	0.0016459	0.0082553	0.881989	187	3	0.079255
NRF1	6	0.7075	0.82146	0.997916	17436	1	0.51453	0.0016518	0.0082923	0.881989	188	5	0.51453
NUPR1	6	0.38144	0.59835	0.997916	12493	2	0.053537	0.0017177	0.0086163	0.90268	189	2	0.053537
TNFRSF14	6	0.29934	0.50769	0.997916	10575	1	0.40689	0.0017254	0.0086532	0.90268	190	4	0.40689
NonTargetingControlGuideForHuman_0538	2	0.43781	0.45041	0.997916	13328	1	1.4974	0.0017265	0.003355	0.716768	191	1	1.4974
IGFL2	6	0.50164	0.6747	0.997916	14261	1	0.37862	0.0017395	0.0087258	0.903324	192	5	0.37862
GSS	6	0.66515	0.79011	0.997916	16750	1	0.24656	0.0017674	0.0088576	0.907879	193	3	0.24656
MGAT1	6	0.22099	0.41634	0.997916	8731	2	0.39119	0.0017708	0.0088704	0.907879	194	3	0.39119
hsa-mir-4445	4	0.96663	0.96658	0.999738	20975	0	1.0631	0.001772	0.006399	0.848255	195	3	1.0631
hsa-mir-1302-5	4	0.33618	0.48219	0.997916	11461	1	0.58118	0.0017758	0.0064114	0.848255	196	3	0.58118
CLK1	6	0.99821	0.99822	1.0	21654	0	0.2677	0.0017943	0.0089818	0.908427	197	6	0.2677
NAT9	6	0.99818	0.9982	1.0	21653	0	0.47144	0.001817	0.0090986	0.913985	198	6	0.47144
NonTargetingControlGuideForHuman_0756	2	0.99817	0.99814	1.0	21652	0	0.73166	0.001832	0.003559	0.716768	199	2	0.73166
NonTargetingControlGuideForHuman_0629	2	0.72578	0.72566	0.997916	17596	0	0.93482	0.0018343	0.0035626	0.716768	200	1	0.93482
PPIP5K2	6	0.46573	0.65132	0.997916	13747	1	0.53656	0.0018631	0.0093263	0.919387	201	4	0.53656
RWDD4	6	0.4392	0.63436	0.997916	13351	2	0.31896	0.0018636	0.0093286	0.919387	202	3	0.31896
CCDC62	6	0.15944	0.34221	0.997916	7156	3	-0.14179	0.0018669	0.009345	0.919387	203	3	-0.14179
SACM1L	6	0.99552	0.99558	0.999851	21601	0	0.56451	0.0018734	0.0093801	0.919387	204	5	0.56451
NBPF4	6	0.4145	0.61878	0.997916	12968	1	0.49614	0.0018769	0.0093952	0.919387	205	4	0.49614
PDF	6	0.59613	0.73964	0.997916	15679	1	0.20291	0.0018791	0.0094066	0.919387	206	4	0.20291
POLR3A	6	0.01714	0.062801	0.990781	1305	1	0.64579	0.0018889	0.0094531	0.919793	207	5	0.64579
RRS1	6	0.24182	0.44087	0.997916	9234	2	-0.085572	0.0019167	0.0095909	0.924198	208	2	-0.085572
ACOT4	6	0.16465	0.34865	0.997916	7302	3	-0.12678	0.0019308	0.0096571	0.924198	209	2	-0.12678
COL17A1	6	0.32807	0.54035	0.997916	11259	1	0.56061	0.0019536	0.0097716	0.924198	210	5	0.56061
HSP90B1	6	0.49398	0.66965	0.997916	14159	2	0.075419	0.0019556	0.0097776	0.924198	211	3	0.075419
C3orf27	6	0.99542	0.99548	0.999851	21596	0	0.67962	0.0019559	0.0097798	0.924198	212	5	0.67962
SNRPN	6	0.72007	0.82516	0.997916	17539	1	0.28453	0.0019664	0.0098355	0.924198	213	4	0.28453
GPLD1	6	0.4747	0.65707	0.997916	13882	1	0.497	0.0019732	0.0098693	0.924198	214	4	0.497
hsa-mir-6727	4	0.77873	0.78473	0.997916	18087	1	0.30521	0.0019749	0.0071018	0.8619	215	2	0.30521
HNRNPCL1	6	0.67572	0.79823	0.997916	16933	1	0.36989	0.0019887	0.0099468	0.924198	216	5	0.36989
RBP7	6	0.28876	0.49557	0.997916	10328	1	0.21909	0.0019943	0.0099669	0.924198	217	3	0.21909
NonTargetingControlGuideForHuman_0158	2	0.998	0.99798	1.0	21651	0	0.5173	0.0020036	0.0039049	0.763313	218	2	0.5173
USP17L1P	6	0.095897	0.23946	0.997916	4985	3	-0.16792	0.0020139	0.010058	0.928692	219	2	-0.16792
IGFL1	6	0.23289	0.43045	0.997916	9025	1	0.27871	0.0020232	0.010106	0.929162	220	5	0.27871
SGCD	6	0.78818	0.84825	0.99876	18182	1	0.71765	0.0020355	0.010162	0.93038	221	5	0.71765
GPR25	6	0.98772	0.98777	0.999851	21419	0	0.62582	0.002061	0.010274	0.933954	222	5	0.62582
POLG2	6	0.90652	0.91029	0.99876	19722	1	-0.045976	0.0020645	0.010291	0.933954	223	2	-0.045976
CNOT1	6	0.9979	0.99791	1.0	21650	0	0.27287	0.0020997	0.010451	0.933954	224	6	0.27287
NEK2	6	0.041533	0.12666	0.995548	2623	3	0.11211	0.0021156	0.01052	0.933954	225	3	0.11211
C3orf58	6	0.27634	0.4813	0.997916	10034	3	-0.0031104	0.0021272	0.010577	0.933954	226	2	-0.0031104
HSD3B2	6	0.99786	0.99788	1.0	21649	0	0.34416	0.0021442	0.010659	0.933954	227	6	0.34416
DDX60L	6	0.97859	0.97872	0.999851	21231	0	0.45641	0.0021466	0.010669	0.933954	228	5	0.45641
hsa-mir-320b-1	4	0.62964	0.68754	0.997916	16167	1	0.57054	0.0021525	0.0077506	0.880722	229	2	0.57054
NTPCR	6	0.35067	0.56556	0.997916	11803	3	0.16929	0.0021592	0.010725	0.933954	230	3	0.16929
METTL13	6	0.081444	0.21063	0.997916	4406	3	-0.098244	0.0021653	0.010752	0.933954	231	1	-0.098244
