sgRNA	Gene	Reads
HGLibA_25790	KRTAP5-2	1171
HGLibA_35192	PARG	247
HGLibA_19146	GJA4	827
HGLibA_03754	ATP6V1F	2811
HGLibA_02327	AP3D1	84
HGLibA_55958	ZNF420	1098
HGLibA_01760	AMDHD1	746
HGLibA_33809	OR2J2	451
HGLibA_22665	IFNA14	334
HGLibA_20073	GPR65	2504
HGLibA_06259	C3orf67	552
HGLibA_09742	CITED1	1247
HGLibA_58004	hsa-mir-185	1412
HGLibA_02908	ARID5B	463
HGLibA_53109	UQCRB	365
HGLibA_56478	ZNF662	817
HGLibA_23541	IQSEC1	1457
HGLibA_41761	ROPN1	896
HGLibA_25184	KLHL31	619
HGLibA_65053	NonTargetingControlGuideForHuman_0670	589
HGLibA_32088	NLRC3	589
HGLibA_22868	IGLL5	358
HGLibA_37536	POLL	646
HGLibA_23590	IRF4	825
HGLibA_15927	FABP7	2380
HGLibA_22334	HSPE1	386
HGLibA_48978	TEKT3	1395
HGLibA_42423	RTP1	1215
HGLibA_26144	LCE4A	1850
HGLibA_17445	FGFR2	1252
HGLibA_27172	LRIF1	1379
HGLibA_15416	ERBB2IP	1165
HGLibA_47786	SUMO4	1379
HGLibA_52778	UBXN10	342
HGLibA_02916	ARIH2	2659
HGLibA_54523	XKR4	915
HGLibA_06374	C5orf30	1219
HGLibA_11516	CT47A1	4842
HGLibA_38827	PRR23C	214
HGLibA_25197	KLHL36	1100
HGLibA_60814	hsa-mir-4674	291
HGLibA_61581	hsa-mir-513c	236
HGLibA_18892	GDPD2	791
HGLibA_56436	ZNF638	636
HGLibA_53066	UPF3B	1016
HGLibA_07604	CCDC136	1836
HGLibA_59665	hsa-mir-3976	1750
HGLibA_13594	DNAJC2	900
HGLibA_22249	HSP90AA1	2664
HGLibA_41366	RMDN2	368
HGLibA_42862	SCARA3	1223
HGLibA_49626	TLK2	806
HGLibA_25217	KLHL5	181
HGLibA_22020	HPCAL1	1310
HGLibA_08472	CD8A	93
HGLibA_31757	NF1	1084
HGLibA_49052	TEX11	865
HGLibA_03872	AURKA	470
HGLibA_28122	MAP1LC3A	856
HGLibA_18337	GABARAPL2	761
HGLibA_34775	OTUD6B	568
HGLibA_15382	EPS8L3	872
HGLibA_15623	ETFB	538
HGLibA_10581	COL4A5	1412
HGLibA_23306	INHBC	907
HGLibA_24263	KCNJ15	284
HGLibA_22380	HTR3A	930
HGLibA_41830	RPF1	715
HGLibA_29771	MPPED1	139
HGLibA_06200	C2orf91	2565
HGLibA_21549	HIST2H4A	475
HGLibA_33463	OR10A3	385
HGLibA_34300	OR5H6	1155
HGLibA_29127	MGAM	2368
HGLibA_49213	TGFB2	872
HGLibA_56144	ZNF516	252
HGLibA_07109	CAMSAP2	1333
HGLibA_28473	MBD3L1	1358
HGLibA_12373	DBC1	817
HGLibA_34874	P2RY11	1589
HGLibA_24830	KIAA1958	1183
HGLibA_00467	ACOT1	898
HGLibA_18843	GDAP1L1	707
HGLibA_26951	LOC441155	1362
HGLibA_28888	MEOX1	451
HGLibA_03559	ATP11C	849
HGLibA_27916	MAGEA6	494
HGLibA_34455	OR6Y1	2115
HGLibA_11068	CRB1	1258
HGLibA_33276	ODF1	1320
HGLibA_30629	MXRA8	1466
HGLibA_34242	OR5AN1	539
HGLibA_61977	hsa-mir-548f-2	602
HGLibA_10000	CLEC5A	617
HGLibA_44371	SLC12A6	1328
HGLibA_60830	hsa-mir-4678	419
HGLibA_03976	B3GAT2	1958
HGLibA_11876	CXCL6	337
HGLibA_45686	SMCR9	2507
HGLibA_38190	PPP3CC	2009
HGLibA_28859	MEGF9	1295
HGLibA_26234	LDHD	381
HGLibA_49890	TMEM117	1226
HGLibA_20249	GRHL1	1024
HGLibA_18552	GALNT18	538
HGLibA_45668	SMCO3	1000
HGLibA_29213	MICALL1	447
HGLibA_21718	HMGN1	518
HGLibA_54026	WDR11	1370
HGLibA_39121	PSMB8	1711
HGLibA_44954	SLC35A3	2092
HGLibA_38834	PRR25	278
HGLibA_28061	MAN1A2	1109
HGLibA_56064	ZNF479	1563
HGLibA_40218	RANGRF	6084
HGLibA_59374	hsa-mir-371a	1256
HGLibA_49981	TMEM14B	1343
HGLibA_63030	hsa-mir-6717	902
HGLibA_20152	GPS2	968
HGLibA_14965	ELOVL4	250
HGLibA_60267	hsa-mir-4465	758
HGLibA_44401	SLC14A2	1008
HGLibA_46169	SOLH	758
HGLibA_61316	hsa-mir-4803	1318
HGLibA_56457	ZNF649	742
HGLibA_06384	C5orf42	2763
HGLibA_42439	RUFY2	869
HGLibA_49615	TLE4	468
HGLibA_12644	DDTL	715
HGLibA_30269	MSTO1	750
HGLibA_24036	KANSL1	458
HGLibA_06322	C4orf33	905
HGLibA_64510	NonTargetingControlGuideForHuman_0127	2441
HGLibA_15984	FAM103A1	917
HGLibA_25942	LAMA1	588
HGLibA_65040	NonTargetingControlGuideForHuman_0657	1884
HGLibA_02643	AREL1	357
HGLibA_27958	MAGEC1	463
HGLibA_38168	PPP2R4	252
HGLibA_12127	CYP2D6	676
HGLibA_00525	ACPP	2014
HGLibA_32857	NTN3	1101
HGLibA_30678	MYCN	1626
HGLibA_39859	RAB27B	2320
HGLibA_47221	ST13	1154
HGLibA_23214	ILF2	2772
HGLibA_27374	LRRC48	586
HGLibA_07541	CCDC111	1111
HGLibA_51022	TOR1AIP2	37
HGLibA_14802	EIF3M	693
HGLibA_62672	hsa-mir-6130	1549
HGLibA_08046	CCM2	863
HGLibA_03371	ASS1	465
HGLibA_48127	TAAR2	272
HGLibA_09893	CLDN25	1945
HGLibA_03886	AUTS2	222
HGLibA_03705	ATP6V0A2	565
HGLibA_04550	BLMH	630
HGLibA_36779	PIWIL4	1055
HGLibA_17041	FBXO2	835
HGLibA_48633	TBR1	762
HGLibA_50934	TOB1	3453
HGLibA_41825	RPE65	777
HGLibA_13665	DNASE2	1059
HGLibA_54770	ZADH2	92
HGLibA_39064	PSKH1	618
HGLibA_36951	PLAG1	694
HGLibA_39719	QARS	806
HGLibA_08102	CCNI	2117
HGLibA_27642	LUZP2	367
HGLibA_54951	ZC3H12A	2207
HGLibA_32658	NRBP2	445
HGLibA_26954	LOC554223	783
HGLibA_50405	TMEM44	553
HGLibA_31670	NELFA	575
HGLibA_53471	UTY	585
HGLibA_43680	SEZ6	845
HGLibA_08496	CD99L2	1337
HGLibA_26245	LDLRAD2	1088
HGLibA_48525	TBC1D29	1135
HGLibA_19730	GPANK1	1435
HGLibA_15798	EXPH5	707
HGLibA_05218	C11orf94	444
HGLibA_61536	hsa-mir-5094	960
HGLibA_62506	hsa-mir-603	131
HGLibA_43897	SH2D4A	240
HGLibA_45636	SMARCD3	700
HGLibA_14162	DUSP22	1926
HGLibA_08466	CD84	656
HGLibA_05777	C1orf151-NBL1	909
HGLibA_38533	PRKCA	763
HGLibA_32286	NOM1	843
HGLibA_38582	PRKG2	2250
HGLibA_26258	LDOC1L	1223
HGLibA_17760	FNDC8	595
HGLibA_07106	CAMSAP1	258
HGLibA_62922	hsa-mir-6512	316
HGLibA_47383	STAT2	1123
HGLibA_24900	KIF21B	495
HGLibA_14139	DUSP13	621
HGLibA_59560	hsa-mir-3921	631
HGLibA_26094	LCA5L	407
HGLibA_51447	TRIM27	440
HGLibA_38683	PROM2	1366
HGLibA_44348	SLC10A7	2020
HGLibA_62601	hsa-mir-6085	1011
HGLibA_48394	TAS2R38	320
HGLibA_59314	hsa-mir-3689a	1481
HGLibA_40672	RCAN2	450
HGLibA_59595	hsa-mir-3934	1042
HGLibA_03164	ART4	805
HGLibA_64714	NonTargetingControlGuideForHuman_0331	887
HGLibA_07132	CAP1	457
HGLibA_16092	FAM127C	693
HGLibA_16311	FAM180A	631
HGLibA_23580	IRF2BP2	1149
HGLibA_09159	CEP70	872
HGLibA_59763	hsa-mir-4264	1566
HGLibA_19369	GLYAT	1054
HGLibA_33541	OR10R2	486
HGLibA_44658	SLC25A17	1714
HGLibA_22245	HSFY2	234
HGLibA_26565	LIN37	2048
HGLibA_34701	OSR2	517
HGLibA_29951	MRPL32	361
HGLibA_49302	THAP4	292
HGLibA_45419	SLC9A5	927
HGLibA_15453	ERCC6L2	643
HGLibA_64392	NonTargetingControlGuideForHuman_0009	350
HGLibA_52133	TTC39A	4287
HGLibA_26512	LILRB3	692
HGLibA_31028	NABP2	1061
HGLibA_40856	RERE	1342
HGLibA_07858	CCDC73	1212
HGLibA_46917	SQRDL	1637
HGLibA_16992	FBXL18	421
HGLibA_35069	PALM2	322
HGLibA_60938	hsa-mir-4709	361
HGLibA_23486	IQCA1	341
HGLibA_19575	GNPTAB	1738
HGLibA_15217	ENTPD8	361
HGLibA_03546	ATP10A	608
HGLibA_44384	SLC13A1	207
HGLibA_46458	SPATA25	216
HGLibA_60553	hsa-mir-4524a	360
HGLibA_47317	STAC3	598
HGLibA_35374	PCBP3	959
HGLibA_29221	MICU1	1352
HGLibA_06238	C3orf37	1911
HGLibA_06719	C9orf24	250
HGLibA_64078	hsa-mir-8060	429
HGLibA_16439	FAM209A	1503
HGLibA_35964	PDXP	2288
HGLibA_29117	MFSD8	3211
HGLibA_04845	BRS3	667
HGLibA_50509	TMEM74	2796
HGLibA_47601	STRN4	355
HGLibA_16557	FAM25G	908
HGLibA_03742	ATP6V1C2	1654
HGLibA_35383	PCCB	1081
HGLibA_17081	FBXO36	688
HGLibA_00828	ADAMTS3	1027
HGLibA_37210	PLOD2	479
HGLibA_45796	SMOC2	692
HGLibA_19123	GIPC3	228
HGLibA_07018	CALHM3	973
HGLibA_03996	B3GNT6	184
HGLibA_37932	PPIG	1420
HGLibA_50316	TMEM25	1490
HGLibA_12681	DDX25	1173
HGLibA_28614	MCM4	1232
HGLibA_24967	KIFAP3	807
HGLibA_06012	C20orf201	199
HGLibA_50857	TNKS2	1437
HGLibA_24686	KIAA1033	876
HGLibA_10515	COL15A1	969
HGLibA_23571	IRF1	298
HGLibA_53049	UNKL	1253
HGLibA_15936	FADS2	470
HGLibA_07255	CARNS1	1019
HGLibA_23687	IST1	1283
HGLibA_25286	KLRC1	1562
HGLibA_58148	hsa-mir-19b-2	835
HGLibA_57042	ZSWIM3	205
HGLibA_50673	TMTC2	1242
HGLibA_10511	COL14A1	417
HGLibA_15219	ENTPD8	511
HGLibA_22000	HOXD4	575
HGLibA_40783	REEP3	450
HGLibA_01259	AGTPBP1	1762
HGLibA_00100	ABCA12	409
HGLibA_25767	KRTAP4-5	415
HGLibA_60789	hsa-mir-4668	1725
HGLibA_32218	NMUR2	427
HGLibA_20704	GYPC	800
HGLibA_29759	MPP5	517
HGLibA_42045	RPRD1A	1835
HGLibA_40751	RDH8	678
HGLibA_23025	IL18BP	617
HGLibA_62833	hsa-mir-647	1202
HGLibA_27936	MAGEB16	764
HGLibA_02050	ANKRD27	280
HGLibA_64053	hsa-mir-8054	630
HGLibA_49222	TGFBR1	1513
HGLibA_45815	SMPDL3A	849
HGLibA_58714	hsa-mir-3160-1	1285
HGLibA_27474	LRRN2	217
HGLibA_55282	ZFYVE21	2559
HGLibA_10468	COCH	417
HGLibA_43282	SEL1L3	491
HGLibA_42083	RPS16	515
HGLibA_07610	CCDC138	1779
HGLibA_38577	PRKG1	975
HGLibA_33919	OR3A3	1370
HGLibA_23149	IL36B	1348
HGLibA_18379	GABRB3	1557
HGLibA_50730	TNFAIP8L3	217
HGLibA_21746	HMOX1	1515
HGLibA_09595	CHRNB3	574
HGLibA_05069	C10orf35	1667
HGLibA_61057	hsa-mir-4740	882
HGLibA_06068	C22orf29	1355
HGLibA_02607	AQP8	805
HGLibA_20406	GSDMB	1109
HGLibA_36792	PKD1L1	1399
HGLibA_49969	TMEM144	3584
HGLibA_38164	PPP2R3C	728
HGLibA_52716	UBLCP1	613
HGLibA_25307	KLRF2	1259
HGLibA_46422	SPAST	499
HGLibA_19780	GPCPD1	435
HGLibA_57484	hsa-mir-1265	1061
HGLibA_39012	PSD	965
HGLibA_27376	LRRC49	1101
HGLibA_45671	SMCO4	831
HGLibA_21763	HMX2	375
HGLibA_43678	SEZ6	1065
HGLibA_23595	IRF6	868
HGLibA_17754	FNDC4	1907
HGLibA_06272	C3orf80	1469
HGLibA_36334	PHF10	2188
HGLibA_24354	KCNN1	1344
HGLibA_50515	TMEM79	1579
HGLibA_34337	OR5M3	2021
HGLibA_38770	PRR11	2153
HGLibA_01165	AGBL1	1170
HGLibA_52880	UGT1A10	11471
HGLibA_46602	SPECC1	1109
HGLibA_52628	UBE2L3	886
HGLibA_64839	NonTargetingControlGuideForHuman_0456	1163
HGLibA_44690	SLC25A27	870
HGLibA_39317	PTGER2	390
HGLibA_29994	MRPL45	486
HGLibA_35598	PCGF3	1134
HGLibA_30328	MTCH2	261
HGLibA_41342	RLBP1	1700
HGLibA_06266	C3orf72	616
HGLibA_59607	hsa-mir-3937	1074
HGLibA_60457	hsa-mir-4508	386
HGLibA_40999	RGCC	1376
HGLibA_24969	KIFC1	1477
HGLibA_16109	FAM131B	379
HGLibA_29914	MRPL18	447
HGLibA_08984	CECR6	883
HGLibA_28055	MAMSTR	606
HGLibA_23523	IQCJ	970
HGLibA_63490	hsa-mir-6828	538
HGLibA_31213	NBEAL2	1190
HGLibA_29655	MORC3	1070
HGLibA_64017	hsa-mir-7973-1	2900
HGLibA_61588	hsa-mir-514a-1	248
HGLibA_45047	SLC37A2	274
HGLibA_36970	PLB1	999
HGLibA_48314	TAP1	1425
HGLibA_64010	hsa-mir-7855	1546
HGLibA_34921	PABPC1	788
HGLibA_42780	SATB2	853
HGLibA_50094	TMEM18	533
HGLibA_27704	LYL1	633
HGLibA_32438	NPFFR1	510
HGLibA_17805	FOSL2	2162
HGLibA_38596	PRL	487
HGLibA_09547	CHRM1	847
HGLibA_19019	GGT7	390
HGLibA_48900	TDRD10	533
HGLibA_58283	hsa-mir-219b	1026
HGLibA_40558	RBM44	2452
HGLibA_36437	PHLPP2	405
HGLibA_12889	DEFB128	691
HGLibA_02448	APOA1	408
HGLibA_31046	NADK	694
HGLibA_03647	ATP5D	368
HGLibA_33812	OR2J3	1758
HGLibA_03490	ATG4B	2075
HGLibA_09411	CHD9	549
HGLibA_13174	DHX30	685
HGLibA_34581	OR9K2	1515
HGLibA_26655	LLPH	162
HGLibA_13446	DMTN	730
HGLibA_65120	NonTargetingControlGuideForHuman_0737	1268
HGLibA_36988	PLCB4	363
HGLibA_23290	ING3	2442
HGLibA_13163	DHTKD1	1006
HGLibA_37138	PLEKHM1	266
HGLibA_02015	ANKRD17	1569
HGLibA_57771	hsa-mir-133a-1	560
HGLibA_42732	SAPCD1	615
HGLibA_42696	SAMD8	2013
HGLibA_12612	DDI2	1065
HGLibA_23256	IMPDH1	375
HGLibA_20026	GPR34	1591
HGLibA_59606	hsa-mir-3936	317
HGLibA_49562	TIPRL	2348
HGLibA_25586	KRTAP1-4	1040
HGLibA_45496	SLFN5	281
HGLibA_06302	C4orf21	1065
HGLibA_51714	TRNT1	1532
HGLibA_11039	CPXM2	926
HGLibA_32806	NT5C1B	601
HGLibA_16091	FAM127B	452
HGLibA_29659	MORF4L1	903
HGLibA_21020	HDAC7	1235
HGLibA_53987	WBP5	1049
HGLibA_23173	IL4R	197
HGLibA_30228	MSMP	994
HGLibA_01562	ALDH3A1	348
HGLibA_31793	NFE2L2	204
HGLibA_38252	PQLC1	1026
HGLibA_21735	HMGXB4	617
HGLibA_38188	PPP3CB	832
HGLibA_48982	TEKT5	310
HGLibA_32309	NOP2	1012
HGLibA_05179	C11orf71	790
HGLibA_10814	COX16	631
HGLibA_47950	SYK	1616
HGLibA_10359	CNPPD1	177
HGLibA_51975	TSPY8	1579
HGLibA_04720	BPIFB1	736
HGLibA_20745	H2AFB1	1418
HGLibA_39423	PTPLB	673
HGLibA_03479	ATG2A	141
HGLibA_44590	SLC22A5	870
HGLibA_63860	hsa-mir-7158	990
HGLibA_36172	PFKP	547
HGLibA_42334	RSPH4A	791
HGLibA_24304	KCNK13	118
HGLibA_16996	FBXL2	1101
HGLibA_04093	BAGE	2142
HGLibA_42860	SCAPER	477
HGLibA_53590	VCX3B	2189
HGLibA_59456	hsa-mir-378h	605
HGLibA_56053	ZNF470	3495
HGLibA_59055	hsa-mir-3605	453
HGLibA_37958	PPIP5K2	1256
HGLibA_32423	NPC2	656
HGLibA_52624	UBE2K	3223
HGLibA_64627	NonTargetingControlGuideForHuman_0244	1290
HGLibA_38537	PRKCB	1788
HGLibA_35563	PCDHGB5	738
HGLibA_53836	VSIG1	2834
HGLibA_60909	hsa-mir-4700	1038
HGLibA_51868	TSHZ3	2276
HGLibA_13472	DNAH10	1447
HGLibA_26486	LIG4	475
HGLibA_54729	YTHDF1	872
HGLibA_20721	GZMB	1587
HGLibA_43272	SECTM1	2800
HGLibA_46304	SP4	1379
HGLibA_15929	FABP7	317
HGLibA_15649	ETV2	357
HGLibA_34696	OSMR	1601
HGLibA_23817	ITIH6	2286
HGLibA_21842	HNRNPR	3281
HGLibA_49010	TEPP	496
HGLibA_11207	CRNN	700
HGLibA_41233	RIC3	464
HGLibA_26896	LOC154872	1721
HGLibA_31741	NEUROD4	839
HGLibA_47806	SUPT20H	2176
HGLibA_46231	SOX11	1236
HGLibA_61763	hsa-mir-520h	777
HGLibA_44798	SLC26A5	637
HGLibA_21083	HEBP1	285
HGLibA_07651	CCDC153	717
HGLibA_32009	NKD2	16
HGLibA_62166	hsa-mir-5582	684
HGLibA_19507	GNG10	326
HGLibA_25709	KRTAP21-1	855
HGLibA_00290	ABI1	474
HGLibA_21574	HIVEP3	626
HGLibA_11353	CSH2	966
HGLibA_44376	SLC12A7	602
HGLibA_56110	ZNF501	602
HGLibA_12540	DCTD	2300
HGLibA_28736	MED10	2315
HGLibA_07999	CCL23	1677
HGLibA_23459	IPO11	615
HGLibA_39144	PSMC6	707
HGLibA_13467	DNAH1	837
HGLibA_18924	GEMIN7	647
HGLibA_56512	ZNF675	1404
HGLibA_51049	TP53	534
HGLibA_16055	FAM120A	612
HGLibA_31848	NFX1	1077
HGLibA_47569	STRA8	535
HGLibA_07027	CALM3	443
HGLibA_14223	DYDC2	297
HGLibA_36166	PFKL	1259
HGLibA_16906	FASTKD3	856
HGLibA_64974	NonTargetingControlGuideForHuman_0591	753
HGLibA_32756	NSG1	359
HGLibA_29279	MINOS1	1088
HGLibA_34937	PABPC4	2393
HGLibA_51738	TRPC4AP	885
HGLibA_48779	TCF24	52
HGLibA_59460	hsa-mir-378i	1040
HGLibA_02453	APOA1BP	350
HGLibA_60660	hsa-mir-4639	2846
HGLibA_55922	ZNF398	1570
HGLibA_05965	C1QTNF9B-AS1	873
HGLibA_33161	NXPH1	1998
HGLibA_41907	RPL23A	3226
HGLibA_63644	hsa-mir-6865	2043
HGLibA_54107	WDR47	2083
HGLibA_22630	IFIT2	858
HGLibA_55453	ZNF121	1119
HGLibA_03270	ASCL2	1180
HGLibA_11396	CSNK1G2	755
HGLibA_22413	HTRA3	521
HGLibA_19738	GPATCH2	857
HGLibA_45812	SMPD4	1895
HGLibA_42152	RPS5	49
HGLibA_53848	VSIG4	1304
HGLibA_55983	ZNF432	1795
HGLibA_57040	ZSWIM2	964
HGLibA_00680	ACTRT2	508
HGLibA_04229	BBX	382
HGLibA_26268	LECT2	1663
HGLibA_17502	FIBIN	1158
HGLibA_46728	SPIRE2	1235
HGLibA_35704	PCYT1B	987
HGLibA_22229	HSF4	702
HGLibA_23093	IL22RA2	580
HGLibA_22634	IFIT5	154
HGLibA_02067	ANKRD32	1490
HGLibA_57149	hsa-mir-100	623
HGLibA_29246	MIEF2	960
HGLibA_48671	TBX4	374
HGLibA_12455	DCAF7	947
HGLibA_16681	FAM69B	514
HGLibA_12836	DEFB107A	3071
HGLibA_19747	GPATCH4	956
HGLibA_15316	EPHB3	1311
HGLibA_42381	RTEL1	1069
HGLibA_11036	CPXM1	581
HGLibA_26411	LGR5	1665
HGLibA_52749	UBR2	325
HGLibA_17873	FOXH1	464
HGLibA_26771	LOC100129924	855
HGLibA_48447	TATDN3	4011
HGLibA_63116	hsa-mir-6741	1419
HGLibA_44202	SIRPA	530
HGLibA_50815	TNFSF14	1317
HGLibA_44301	SLA	899
HGLibA_40475	RBM11	4116
HGLibA_35818	PDE6G	824
HGLibA_07102	CAMP	1480
HGLibA_17025	FBXO10	780
HGLibA_57921	hsa-mir-1539	225
HGLibA_59448	hsa-mir-378f	409
HGLibA_32481	NPL	632
HGLibA_07303	CASP14	2142
HGLibA_31251	NCALD	1319
HGLibA_42230	RRAGC	530
HGLibA_08480	CD93	486
HGLibA_01672	ALMS1	675
HGLibA_01327	AIDA	1337
HGLibA_54815	ZBTB10	1241
HGLibA_22113	HRSP12	580
HGLibA_15299	EPHA5	603
HGLibA_20032	GPR37	1074
HGLibA_34557	OR8U1	334
HGLibA_23126	IL3	251
HGLibA_41699	RNF8	654
HGLibA_36886	PLA2G2A	200
HGLibA_39699	PYHIN1	1594
HGLibA_11263	CRYBB2	1112
HGLibA_11205	CRNKL1	1150
HGLibA_40015	RABGEF1	1926
HGLibA_19199	GK2	1223
HGLibA_32681	NRG3	2086
HGLibA_48518	TBC1D26	870
HGLibA_43419	SEPN1	1656
HGLibA_42965	SCML4	713
HGLibA_00621	ACTL6A	2199
HGLibA_07793	CCDC50	1402
HGLibA_50194	TMEM206	116
HGLibA_49523	TIMM8A	1320
HGLibA_63742	hsa-mir-6889	550
HGLibA_34298	OR5H2	1343
HGLibA_10783	CORO2A	2019
HGLibA_57354	hsa-mir-124-3	1324
HGLibA_04799	BRF2	267
HGLibA_28517	MBOAT1	1215
HGLibA_16552	FAM25A	2304
HGLibA_12037	CYGB	1754
HGLibA_21567	HIVEP1	169
HGLibA_16069	FAM122B	1128
HGLibA_47136	SSH2	739
HGLibA_10843	COX6A1	427
HGLibA_45057	SLC38A10	1511
HGLibA_30291	MT1H	1015
HGLibA_64105	hsa-mir-8067	1312
HGLibA_24001	JTB	388
HGLibA_48462	TBC1D1	453
HGLibA_49532	TIMMDC1	972
HGLibA_46321	SPA17	1326
HGLibA_17718	FMOD	598
HGLibA_52935	UGT3A2	1371
HGLibA_04348	BCL9	261
HGLibA_30282	MT1E	1436
HGLibA_02791	ARHGAP9	1154
HGLibA_45420	SLC9A6	739
HGLibA_44103	SIAE	913
HGLibA_65069	NonTargetingControlGuideForHuman_0686	685
HGLibA_50300	TMEM245	455
HGLibA_37276	PLXNB3	941
HGLibA_26191	LCNL1	2252
HGLibA_49196	TFRC	136
HGLibA_08526	CDC25A	703
HGLibA_09569	CHRNA2	163
HGLibA_16145	FAM13B	1811
HGLibA_32165	NME5	708
HGLibA_36732	PIRT	1006
HGLibA_00820	ADAMTS2	562
HGLibA_22617	IFI6	482
HGLibA_61927	hsa-mir-548au	338
HGLibA_07638	CCDC149	1269
HGLibA_37986	PPM1K	697
HGLibA_31899	NHLRC2	1072
HGLibA_21618	HLA-DPB1	1948
HGLibA_45493	SLFN14	1368
HGLibA_37441	POC1A	1519
HGLibA_35824	PDE7A	530
HGLibA_05553	C17orf59	1402
HGLibA_19603	GOLGA5	867
HGLibA_15754	EXOC6	211
HGLibA_61284	hsa-mir-4795	719
HGLibA_34555	OR8U1	1394
HGLibA_14918	ELK4	963
HGLibA_43962	SH3KBP1	1246
HGLibA_04728	BPIFB4	398
HGLibA_11349	CSGALNACT2	578
HGLibA_59793	hsa-mir-4271	315
HGLibA_10110	CLPSL2	477
HGLibA_20177	GPX3	559
HGLibA_17364	FGF10	2179
HGLibA_41364	RMDN1	1181
HGLibA_54867	ZBTB37	655
HGLibA_18162	FUK	1347
HGLibA_39567	PTTG2	2039
HGLibA_16333	FAM185A	292
HGLibA_38742	PRPF6	303
HGLibA_16808	FAM98A	557
HGLibA_26160	LCMT1	1488
HGLibA_34833	OXSM	452
HGLibA_22467	IAH1	588
HGLibA_40979	RFX7	2988
HGLibA_23489	IQCB1	1603
HGLibA_28186	MAP3K4	277
HGLibA_36407	PHKB	902
HGLibA_44762	SLC25A5	1679
HGLibA_54754	YWHAZ	293
HGLibA_28521	MBOAT2	1803
